libplist 2.1.0-2
libpng 1.6.37-1
libproxy 0.4.15-13
libpsl 0.21.0-2
libpulse 13.0-3
libpwquality 1.4.2-2
libqalculate 3.7.0-1
libqmi 1.24.4-1
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libqxp 0.0.2-3
libraqm 0.7.0-1
libratbag 0.12-1
libraw 0.19.5-2
libraw1394 2.1.2-2
librevenge 0.0.4-2
librsvg 2:2.46.4-1
libsamplerate 0.1.9-3
libsasl 2.1.27-2
libseccomp 2.4.1-3
libsecret 0.20.0-1
libshout 1:2.4.3-2
libsigc++ 2.10.2-1
libsigsegv 2.12-1
libsm 1.2.3-1
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.68.3-1
libsoxr 0.1.3-1
libspiro 1:20190731-1
libsrtp 1:2.3.0-1
libssh 0.9.3-1
libssh2 1.9.0-2
libstaroffice 0.0.6-1
libstemmer 0+713-1
libsynctex 2019.51075-5
libtar 1.2.20-4
libtasn1 4.15.0-1
libteam 1.30-1
libtermkey 0.22-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtiger 0.3.4-5
libtirpc 1.2.5-1
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-8
libtorrent-rasterbar 1:1.2.3-1
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.23-2
libusb-compat 0.1.5-2
libusbmuxd 2.0.0-2
libutempter 1.1.6-3
libutf8proc 2.4.0-1
libutil-linux 2.35-1
libuv 1.34.2-1
libva 2.6.1-1
libva-intel-driver 2.4.0-1
libvdpau 1.3-1
libvisio 0.1.7-2
libvisual 0.4.0-7
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.2-1
libvterm 0.1.git5.4a5fa43-1
libwacom 1.2-1
libwbclient 4.10.10-2
libwebp 1.1.0-1
libwmf 0.2.12-1
libwpd 0.10.3-1
libwpe 1.4.0.1-1
libwpg 0.3.3-1
libwps 0.4.10-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxml++ 3.0.1+4+g2af973f-3
libxml2 2.9.10-1
libxmu 1.1.3-1
libxnvctrl 440.44-1
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxxf86vm 1.1.4-3
libyaml 0.2.2-1
libzip 1.5.2-2
libzmf 0.0.2-7
licenses 20191011-2
lilv 0.24.6-2
linux 5.4.15.arch1-1
linux-api-headers 5.3.1-2
linux-firmware 20191220.6871bff-1
linux-headers 5.4.15.arch1-1
lirc 1:0.10.1-4
llvm 9.0.1-1
llvm-libs 9.0.1-1
lm_sensors 3.6.0-1
lmdb 0.9.24-1
logrotate 3.15.1-2
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lsof 4.93.2-1
lsscsi 0.30-1
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lutris 0.5.4-1
lv2 1.16.0-3
lvm2 2.02.186-5
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
make 4.2.1-4
man-db 2.9.0-1
man-pages 5.04-2
mariadb-clients 10.4.11-1
mariadb-libs 10.4.11-1
mbedtls 2.16.3-1
md4c 0.4.2-1
mdadm 4.1-2
media-player-info 24-1
mesa 19.3.2-2
mesa-demos 8.4.0-2
metis 5.1.0.p7-1
milou 5.17.5-1
minizip 1:1.2.11-4
mjpegtools 2.1.0-4
mkinitcpio 27-2
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
modemmanager 1.12.4-1
modemmanager-qt 5.66.0-1
mono 6.4.0.198-1
mpfr 4.0.2-2
mpg123 1.25.13-1
msgpack-c 3.2.1-1
mtdev 1.1.5-2
mtools 4.0.23-1
mullvad-vpn-bin 2019.10-1
mypaint-brushes1 1.3.0-1
nano 4.7-1
ncurses 6.1-7
ndctl 67-1
neofetch 6.1.0-1
neon 0.30.2-3
neovim 0.4.3-1
netctl 1.20-2
netpbm 10.73.30-1
nettle 3.5.1-2
networkmanager 1.22.4-1
networkmanager-qt 5.66.0-1
node-gyp 6.1.0-1
nodejs 13.7.0-1
noto-fonts 20190926-4
npm 6.13.6-1
npth 1.6-2
nspr 4.24-1
nss 3.49.2-2
ntfs-3g 2017.3.23-3
nvidia 440.44-15
nvidia-settings 440.44-1
nvidia-utils 440.44-3
nvm 0.35.2-1
ocl-icd 2.2.12-3
oniguruma 6.9.4-1
openal 1.20.1-1
opencl-headers 2:2.2.20170516-2
opencore-amr 0.1.5-3
openexr 2.4.0-6
openjdk11-doc 11.0.6.u10-1
openjdk11-src 11.0.6.u10-1
openjpeg2 2.3.1-1
openmpi 4.0.2-3
openocd 1:0.10.0-2
openresolv 3.9.2-2
openssh 8.1p1-2
openssl 1.1.1.d-2
openvpn 2.4.8-4
opera-ffmpeg-codecs 79.0.3945.130-1
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
oxygen 5.17.5-1
p11-kit 0.23.19-2
p7zip 16.02-5
pacman 5.2.1-4
pacman-mirrorlist 20200103-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7-1
pangomm 2.42.0-1
parted 3.3-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pciutils 3.6.2-2
pcre 8.43-2
pcre2 10.34-3
perl 5.30.1-1
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-file-listing 6.04-6
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-1
perl-http-daemon 6.01-7
perl-http-date 6.05-1
perl-http-message 6.18-3
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-io-socket-ssl 2.066-1
perl-libwww 6.43-1
perl-lwp-mediatypes 6.02-6
perl-lwp-protocol-https 6.07-3
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-net-ssleay 1.88-1
perl-timedate 2.31-1
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
phonon-qt5 4.11.1-1
phonon-qt5-vlc 0.11.1-1
pigz 2.4-1
pinentry 1.1.0-5
piper 0.3-2
pipewire 0.2.7-1
pixman 0.38.4-1
pkcs11-helper 1.26.0-1
pkgconf 1.6.3-3
plasma-browser-integration 5.17.5-1
plasma-desktop 5.17.5-2
plasma-framework 5.66.0-1
plasma-integration 5.17.5-1
plasma-nm 5.17.5-1
plasma-pa 5.17.5-1
plasma-sdk 5.17.5-1
plasma-thunderbolt 5.17.5-1
plasma-vault 5.17.5-1
plasma-workspace 5.17.5-2
plasma-workspace-wallpapers 5.17.5-1
polkit 0.116-3
polkit-kde-agent 5.17.5-1
polkit-qt5 0.113.0-1
poppler 0.84.0-1
poppler-data 0.4.9-1
poppler-qt5 0.84.0-1
popt 1.16-12
portaudio 1:19.6.0-6
postgresql-libs 12.1-2
potrace 1.16-1
powerdevil 5.17.5-1
powerline-fonts-git r169.2f6afc6-1
ppp 2.4.7-6
prison 5.66.0-1
procps-ng 3.3.15-2
projectm 3.1.0-5
protobuf 3.11.2-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
purpose 5.66.0-1
pygobject-devel 3.34.0-3
pygtk 2.24.0-8
python 3.8.1-4
python-appdirs 1.4.3-5
python-asn1crypto 1.3.0-1
python-astor 0.8.1-1
python-attrs 19.3.0-3
python-bcrypt 3.1.7-3
python-cachecontrol 0.12.6-1
python-cached-property 1.5.1-4
python-cairo 1.19.0-1
python-cffi 1.13.2-2
python-chardet 3.0.4-4
python-colorama 0.4.3-1
python-cryptography 2.8-1
python-dbus 1.2.14-1
python-dbus-common 1.2.14-1
python-distlib 0.3.0-1
python-distro 1.4.0-3
python-docker 4.1.0-3
python-docker-pycreds 0.4.0-5
python-dockerpty 0.4.1-6
python-docopt 0.6.2-7
python-evdev 1.3.0-1
python-future 0.18.2-2
python-gast02 0.2.2-1
python-gobject 3.34.0-3
python-h5py 2.10.0-2
python-html5lib 1.0.1-7
